ID,English Input,GPT-4o (Free Tier),Claude 3 Haiku,Gemini 1.5 Flash,DeepSeek-V3
1,Play the fool to catch the wise,扮豬吃老虎 (bàn zhū chī lǎo hǔ),大智若愚 (dà zhì ruò yú),大智若愚 (dà zhì ruò yú),大智若愚 (dà zhì ruò yú)
2,Hide a dagger behind a smile,笑裡藏刀 (xiào lǐ cáng dāo),笑里藏刀 (xiào lǐ cáng dāo),笑里藏刀 (xiào lǐ cáng dāo),笑里藏刀 (xiào lǐ cáng dāo)
3,"Outwardly obey, inwardly defy",陽奉陰違 (yáng fèng yīn wéi),阳奉阴违 (yáng fèng yīn wéi),口 articles 是心非 (kǒu shì xīn fēi) / 阳奉阴违 (yáng fèng yīn wéi),阳奉阴违 (yáng fèng yīn wéi)
4,Suffer from Qi deviation,走火入魔 (zǒu huǒ rù mó),走火入魔 (zǒu huǒ rù mó),走火入魔 (zǒu huǒ rù mó),走火入魔 (zǒu huǒ rù mó)
5,Shed the mortal coil / Be completely transformed,脫胎換骨 (tuō tāi huàn gǔ),脱胎换骨 (tuō tāi huàn gǔ),脱胎换骨 (tuō tāi huàn gǔ),脱胎换骨 (tuō tāi huàn gǔ)
6,Defy fate and rewrite destiny,逆天改命 (nì tiān gǎi mìng),逆天改命 (nì tiān gǎi mìng),逆天改命 (nì tiān gǎi mìng),逆天改命 (nì tiān gǎi mìng)
7,Body and soul utterly annihilated,形神俱滅 (xíng shén jù miè),魂飞魄散 (hún fēi pò sàn),神形俱灭 (shén xíng jù miè),神魂俱灭 (shén hún jù miè)
8,Like a mantis trying to stop a chariot,螳臂當車 (táng bì dāng chē),螳臂挡车 (táng bì dǎng chē),螳臂当车 (táng bì dāng chē),螳臂当车 (táng bì dāng chē)
9,Blindly arrogant,妄自尊大 (wàng zì zūn dà),妄自尊大 (wàng zì zūn dà),目空一切 (mù kōng yī qiè),目中无人 (mù zhōng wú rén)
10,Arrogant beyond measure,狂妄自大 (kuáng wàng zì dà),狂妄自大 (kuáng wàng zì dà),嚣张跋扈 (xiāo zhāng bá hù),狂妄自大 (kuáng wàng zì dà)
11,Burn one's boats,破釜沉舟 (pò fǔ chén zhōu),背水一战 (bèi shuǐ yī zhàn),破釜沉舟 (pò fǔ chén zhōu),破釜沉舟 (pò fǔ chén zhōu)
12,Root out the evil completely,斬草除根 (zhǎn cǎo chú gēn),斩草除根 (zhǎn cǎo chú gēn),斩草除根 (zhǎn cǎo chú gēn),斩草除根 (zhǎn cǎo chú gēn)
13,An endless cycle of vengeance,冤冤相報 (yuān yuān xiāng bào),冤冤相报 (yuān yuān xiāng bào),冤冤相报 (yuān yuān xiāng bào),冤冤相报 (yuān yuān xiāng bào)
14,A well-matched couple,天作之合 (tiān zuò zhī hé),天作之合 (tiān zuò zhī hé),天作之合 (tiān zuò zhī hé),天作之合 (tiān zuò zhī hé)
15,Return to life by borrowing another's body,借屍還魂 (jiè shī huán hún),夺舍重生 (duó shě chóng shēng),借尸还魂 (jiè shī huán hún),借尸还魂 (jiè shī huán hún)
16,Go with the flow,順其自然 (shùn qí zì rán),随遇而安 (suí yù ér ān),顺其自然 (shùn qí zì rán),随波逐流 (suí bō zhú liú)
17,Great skill appears clumsy,大巧若拙 (dà qiǎo ruò zhuō),大巧若拙 (dà qiǎo ruò zhuō),大巧若拙 (dà qiǎo ruò zhuō),大巧若拙 (dà qiǎo ruò zhuō)
18,An illusory dream,黃粱一夢 (huáng liáng yī mèng),南柯一梦 (nán kē yī mèng),黄粱一梦 (huáng liáng yī mèng),黄粱一梦 (huáng liáng yī mèng)
